Qual é a primeira etapa para configurar um pipeline de RAG?,Criar uma API Rest,Treinar um modelo do zero,Ajustar hiperparâmetros,Indexar e vetorizar os documentos,D,O RAG precisa primeiro processar e converter a base de conhecimento em vetores para permitir a busca. 
O que significa a sigla RAG em IA?,Realtime Artificial General,Retrieval-Augmented Generation,Random Access Generation,Recurrent Algorithm Grounding,B,Significa Geração Aumentada de Recuperação; que combina busca de dados com LLMs.
Qual técnica reduz alucinações em LLMs sem recondicionar o modelo?,Fine-tuning,Pruning,Prompt Engineering,RAG,D,O RAG injeta dados reais e atualizados diretamente no contexto do prompt; diminuindo erros. 
Qual métrica avalia a similaridade entre vetores em um banco de dados vetorial?,Similaridade de cosseno,F1-Score,Acurácia,Erro quadrático médio,A,A similaridade de cosseno mede a direção de vetores para determinar a proximidade semântica. 
Qual banco de dados é nativamente otimizado para armazenar embeddings?,PostgreSQL padrão,Redis clássico,Pinecone,MongoDB,C,O Pinecone é um banco de dados vetorial especializado em busca e armazenamento de embeddings. 
Para que serve o framework LangChain?,Ajustar pesos de redes neurais,Orquestrar aplicações baseadas em LLMs,Treinar modelos de visão computacional,Criar interfaces gráficas,B,O LangChain facilita a criação de aplicações que encadeiam LLMs; prompts e bancos de dados. 
O que faz um Tokenizer em um modelo de linguagem?,Mede a acurácia das respostas,Divide o texto em palavras ou sílabas menores,Gera embeddings de imagem,Reduz o tamanho do modelo,B,O tokenizador quebra o texto bruto em tokens que o modelo consegue processar numericamente. 
Em LLMs o que controla a aleatoriedade das respostas?,Learning Rate,Batch Size,Top-K,Temperatura,D,A temperatura regula a criatividade; valores baixos geram respostas mais determinísticas. 
Qual arquitetura de rede neural revolucionou o Processamento de Linguagem Natural?,CNN,RNN,LSTM,Transformer,D,A arquitetura Transformer introduziu o mecanismo de atenção que transformou o PLN. 
O que é "Fine-tuning" em IA?,Otimizar o código para rodar mais rápido,Ajustar um modelo pré-treinado em dados específicos,Treinar um modelo a partir do zero absoluto,Limpar dados duplicados na base,B,É o ajuste fino de um modelo já existente para uma tarefa ou domínio especializado. 
O que é um "Embedding"?,Um tipo de banco de dados,Uma representação vetorial de um conceito ou palavra,O código de deploy do modelo,Um algoritmo de classificação,B,Embeddings são vetores numéricos que capturam o significado semântico de textos ou imagens. 
Qual componente do Transformer permite focar em diferentes partes de uma frase?,Dropout,Mecanismo de Atenção,Camada Linear,Função de ativação ReLU,B,O mecanismo de atenção permite ao modelo entender a relação entre palavras distantes no texto. 
O que significa LLM?,Linear Logic Model,Low Level Matrix,Latent Learning Machine,Large Language Model,D,Refere-se aos Grandes Modelos de Linguagem; como o GPT ou Llama. 
Qual biblioteca Python é amplamente usada para carregar modelos open-source da Hugging Face?,TensorFlow,Pandas,Transformers,Scikit-Learn,C,A biblioteca 'transformers' da Hugging Face é o padrão para carregar e usar modelos de IA. 
Em Engenharia de Prompt o que faz a técnica "Few-shot"?,Divide o prompt em pedaços pequenos,Executa o prompt várias vezes em paralelo,Fornece alguns exemplos no prompt antes da pergunta,Dá uma resposta sem exemplos,C,Consiste em dar poucos exemplos (few-shots) para guiar o comportamento e formato da IA. 
O que causa o fenômeno de "alucinação" em uma IA?,O modelo gerar informações falsas com convicção,Falta de memória RAM,Vírus no servidor,Dados de entrada mal formatados,A,Alucinação ocorre quando o modelo gera respostas factualmente incorretas que parecem plausíveis. 
Qual técnica ajuda a rodar LLMs grandes em hardwares de consumo reduzindo a precisão dos pesos?,Overfitting,Poder de processamento paralelo,Quantização,Destilação,C,A quantização converte os pesos (ex: de FP16 para INT8) reduzindo o uso de VRAM. 
O que é "Prompt Injection"?,Inserir código Python na IA,Aumentar a velocidade de resposta,Manipular o prompt para burlar regras do modelo,Enviar múltiplos prompts ao mesmo tempo,C,É uma vulnerabilidade onde instruções maliciosas fazem a IA ignorar suas diretrizes originais. 
Qual framework open-source da Meta é muito usado para criar e treinar redes neurais?,PyTorch,Django,Spring,Keras,A,PyTorch é uma das bibliotecas mais populares e dinâmicas para pesquisa e desenvolvimento em IA. 
Para que serve a técnica de "Chunking" no RAG?,Dividir documentos grandes antes de vetorizar,Formatar a resposta final em Markdown,Validar tokens de segurança,Acelerar o deploy da aplicação,A,O chunking garante que os trechos enviados ao banco vetorial caibam na janela de contexto do modelo. 
Qual o objetivo do aprendizado supervisionado?,Explorar um ambiente por tentativa e erro,Aprender padrões sem rótulos,Agrupar clientes por comportamento,Prever saídas com base em dados rotulados de treino,D,O supervisionado usa pares de entrada-saída conhecidos (rótulos) para aprender a mapear funções. 
O que caracteriza o Aprendizado por Reforço?,Uso de árvores de decisão,Uso de dados históricos rotulados,Agrupamento por distância euclidiana,Sistema de recompensas e punições por ações,D,Nesse método o agente aprende a tomar decisões maximizando uma recompensa no ambiente. 
Qual métrica mede a proporção de verdadeiros positivos entre todas as predições positivas?,Acurácia,Precisão,Loss,Recall,B,A precisão avalia o quanto o modelo acerta quando ele diz que uma classe é positiva. 
O que indica o "Overfitting" em um modelo?,O modelo precisa de mais dados vetoriais,O modelo roda muito rápido,O modelo performa mal no treino e no teste,O modelo decora o treino e falha no teste,D,Sobreajuste ocorre quando o modelo se adapta demais ao treino e perde poder de generalização. 
Como mitigar o Overfitting em redes neurais?,Aumentar a complexidade do modelo,Usar técnicas de regularização como o Dropout,Remover dados do conjunto de teste,Zerar a taxa de aprendizado,B,O Dropout desativa neurônios aleatoriamente no treino; forçando a rede a aprender caminhos robustos. 
